Date,y
01/08/2022,148.3416845
02/08/2022,148.4940186
03/08/2022,148.6213525
04/08/2022,148.6852045
05/08/2022,148.6707869
06/08/2022,148.8606246
07/08/2022,148.965355
08/08/2022,149.0250676
09/08/2022,149.2019841
10/08/2022,149.3543727
11/08/2022,149.4431902
12/08/2022,149.4530608
13/08/2022,149.6659073
14/08/2022,149.791764
15/08/2022,149.8701301
16/08/2022,150.0626638
17/08/2022,150.2271096
18/08/2022,150.3239538
19/08/2022,150.3374148
20/08/2022,150.5490852
21/08/2022,150.6687537
22/08/2022,150.7357655
23/08/2022,150.9117227
24/08/2022,151.0544136
25/08/2022,151.1244703
26/08/2022,151.1063569
27/08/2022,151.2820081
28/08/2022,151.3616456
29/08/2022,151.3851308
30/08/2022,151.5146544
31/08/2022,151.6086554
01/09/2022,151.6284647
02/09/2022,151.5592799
03/09/2022,151.683789
04/09/2022,151.7129713
05/09/2022,151.6874346
06/09/2022,151.7700902
07/09/2022,151.8200572
08/09/2022,151.7992925
09/09/2022,151.693554
10/09/2022,151.7860128
11/09/2022,151.7880465
12/09/2022,151.7405686
13/09/2022,151.8066996
14/09/2022,151.8456684
15/09/2022,151.8194424
16/09/2022,151.7136928
17/09/2022,151.811411
18/09/2022,151.8237075
19/09/2022,151.7911502
20/09/2022,151.8764441
21/09/2022,151.9383441
22/09/2022,151.9382969
23/09/2022,151.8614181
24/09/2022,151.9901222
25/09/2022,152.0349339
26/09/2022,152.0358392
27/09/2022,152.1549768
28/09/2022,152.2505618
29/09/2022,152.2835377
30/09/2022,152.2385621
01/10/2022,152.3976432
02/10/2022,152.4709568
03/10/2022,152.4982009
04/10/2022,152.6412888
05/10/2022,152.7582729
06/10/2022,152.8099954
07/10/2022,152.7810705
08/10/2022,152.9535172
09/10/2022,153.0375701
10/10/2022,153.0730275
11/10/2022,153.2219378
12/10/2022,153.3425156
13/10/2022,153.3957845
14/10/2022,153.3665519
15/10/2022,153.5370344
16/10/2022,153.6176622
17/10/2022,153.6484212
18/10/2022,153.7915349
19/10/2022,153.9053762
20/10/2022,153.9511081
21/10/2022,153.9136571
22/10/2022,154.0753383
23/10/2022,154.1466614
24/10/2022,154.1676744
25/10/2022,154.3006489
26/10/2022,154.4039961
27/10/2022,154.4389118
28/10/2022,154.3903547
29/10/2022,154.5406767
30/10/2022,154.6004338
31/10/2022,154.6097347
01/11/2022,154.7309301
02/11/2022,154.8225318
03/11/2022,154.8458601
04/11/2022,154.7860237
05/11/2022,154.9255498
06/11/2022,154.9751934
07/11/2022,154.9752838
08/11/2022,155.0884092
09/11/2022,155.1733311
10/11/2022,155.1916254
11/11/2022,155.1286544
12/11/2022,155.2671889
13/11/2022,155.3182093
14/11/2022,155.3222423
15/11/2022,155.4420371
16/11/2022,155.5364712
17/11/2022,155.5671826
18/11/2022,155.5195355
19/11/2022,155.6762364
20/11/2022,155.7481298
21/11/2022,155.7755329
22/11/2022,155.9209105
23/11/2022,156.0427813
24/11/2022,156.1023542
25/11/2022,156.0844978
26/11/2022,156.2713647
27/11/2022,156.373196
28/11/2022,156.4296667
29/11/2022,156.6025737
30/11/2022,156.7497558
01/12/2022,156.8317446
02/12/2022,156.8327501
03/12/2022,157.0343006
04/12/2022,157.1460632
05/12/2022,157.2072047
06/12/2022,157.3790935
07/12/2022,157.5192331
08/12/2022,157.5879242
09/12/2022,157.5692601
10/12/2022,157.7447731
11/12/2022,157.8242596
12/12/2022,157.8471431
13/12/2022,157.9751748
14/12/2022,158.0663627
15/12/2022,158.0816275
16/12/2022,158.0057875
17/12/2022,158.1211932
18/12/2022,158.1385374
19/12/2022,158.0982016
20/12/2022,158.1629375
21/12/2022,158.1917775
22/12/2022,158.1466683
23/12/2022,158.013436
24/12/2022,158.075399
25/12/2022,158.0441584
26/12/2022,157.9609243
27/12/2022,157.9891801
